altruistic_probability,selfish_probability,cost_of_altruism,benefit_from_altruism,disease,harshness,run_number,ticks,altruists,selfish,void,max_pink,max_green,max_black
0.26,0.26,0.0,0.0,0.0,0.0,0,1062.0,0.0,1681.0,0.0,825.0,1681.0,39.0
0.26,0.26,0.0,0.0,0.0,0.0,1,5631.0,1681.0,0.0,0.0,1681.0,1234.0,50.0
0.26,0.26,0.0,0.0,0.0,0.0,2,2669.0,1681.0,0.0,0.0,1681.0,876.0,33.0
0.26,0.26,0.0,0.0,0.0,0.0,3,800.0,1681.0,0.0,0.0,1681.0,901.0,45.0
0.26,0.26,0.0,0.0,0.0,0.0,4,3170.0,1681.0,0.0,0.0,1681.0,831.0,40.0
0.26,0.26,0.0,0.0,0.0,0.0,5,5225.0,0.0,1681.0,0.0,805.0,1681.0,42.0
0.26,0.26,0.0,0.0,0.0,0.0,6,2931.0,0.0,1681.0,0.0,1243.0,1681.0,44.0
0.26,0.26,0.0,0.0,0.0,0.0,7,15000.0,1124.0,557.0,0.0,1499.0,1626.0,37.0
0.26,0.26,0.0,0.0,0.0,0.0,8,2383.0,0.0,1681.0,0.0,935.0,1681.0,45.0
0.26,0.26,0.0,0.0,0.0,0.0,9,6573.0,0.0,1681.0,0.0,1052.0,1681.0,42.0
0.26,0.26,0.0,0.0,0.0,0.25,0,9609.0,1681.0,0.0,0.0,1681.0,1434.0,417.0
0.26,0.26,0.0,0.0,0.0,0.25,1,3256.0,1681.0,0.0,0.0,1681.0,1187.0,407.0
0.26,0.26,0.0,0.0,0.0,0.25,2,1931.0,1681.0,0.0,0.0,1681.0,1147.0,393.0
0.26,0.26,0.0,0.0,0.0,0.25,3,8310.0,0.0,1681.0,0.0,1301.0,1681.0,426.0
0.26,0.26,0.0,0.0,0.0,0.25,4,15000.0,394.0,1287.0,0.0,1537.0,1647.0,354.0
0.26,0.26,0.0,0.0,0.0,0.25,5,7130.0,1681.0,0.0,0.0,1681.0,1619.0,389.0
0.26,0.26,0.0,0.0,0.0,0.25,6,6822.0,0.0,1681.0,0.0,1092.0,1681.0,416.0
0.26,0.26,0.0,0.0,0.0,0.25,7,8843.0,0.0,1681.0,0.0,1439.0,1681.0,395.0
0.26,0.26,0.0,0.0,0.0,0.25,8,12143.0,0.0,1681.0,0.0,1432.0,1681.0,431.0
0.26,0.26,0.0,0.0,0.0,0.25,9,3112.0,1681.0,0.0,0.0,1681.0,1123.0,392.0
0.26,0.26,0.0,0.0,0.0,0.5,0,2044.0,0.0,1681.0,0.0,954.0,1681.0,627.0
0.26,0.26,0.0,0.0,0.0,0.5,1,983.0,1681.0,0.0,0.0,1681.0,987.0,551.0
0.26,0.26,0.0,0.0,0.0,0.5,2,8506.0,1681.0,0.0,0.0,1681.0,1311.0,606.0
0.26,0.26,0.0,0.0,0.0,0.5,3,10038.0,0.0,1681.0,0.0,843.0,1681.0,579.0
0.26,0.26,0.0,0.0,0.0,0.5,4,2805.0,0.0,1681.0,0.0,1530.0,1681.0,545.0
0.26,0.26,0.0,0.0,0.0,0.5,5,8535.0,1681.0,0.0,0.0,1681.0,1598.0,565.0
0.26,0.26,0.0,0.0,0.0,0.5,6,2129.0,0.0,1681.0,0.0,907.0,1681.0,622.0
0.26,0.26,0.0,0.0,0.0,0.5,7,4735.0,1681.0,0.0,0.0,1681.0,992.0,568.0
0.26,0.26,0.0,0.0,0.0,0.5,8,5416.0,0.0,1681.0,0.0,1575.0,1681.0,597.0
0.26,0.26,0.0,0.0,0.0,0.5,9,3589.0,0.0,1681.0,0.0,1250.0,1681.0,596.0
0.26,0.26,0.0,0.0,0.0,0.75,0,13610.0,0.0,1681.0,0.0,1504.0,1681.0,700.0
0.26,0.26,0.0,0.0,0.0,0.75,1,2904.0,0.0,1681.0,0.0,1173.0,1681.0,738.0
0.26,0.26,0.0,0.0,0.0,0.75,2,2587.0,1681.0,0.0,0.0,1681.0,834.0,757.0
0.26,0.26,0.0,0.0,0.0,0.75,3,4502.0,1681.0,0.0,0.0,1681.0,1661.0,720.0
0.26,0.26,0.0,0.0,0.0,0.75,4,8192.0,0.0,1681.0,0.0,1319.0,1681.0,700.0
0.26,0.26,0.0,0.0,0.0,0.75,5,2826.0,1681.0,0.0,0.0,1681.0,983.0,670.0
0.26,0.26,0.0,0.0,0.0,0.75,6,14934.0,0.0,1681.0,0.0,1391.0,1681.0,711.0
0.26,0.26,0.0,0.0,0.0,0.75,7,1127.0,1681.0,0.0,0.0,1681.0,1069.0,682.0
0.26,0.26,0.0,0.0,0.0,0.75,8,5203.0,1681.0,0.0,0.0,1681.0,1484.0,722.0
0.26,0.26,0.0,0.0,0.0,0.75,9,2039.0,1681.0,0.0,0.0,1681.0,795.0,706.0
0.26,0.26,0.0,0.0,0.0,1.0,0,1164.0,0.0,1107.0,574.0,564.0,1278.0,1008.0
0.26,0.26,0.0,0.0,0.0,1.0,1,477.0,0.0,108.0,1573.0,629.0,499.0,1594.0
