altruistic_probability,selfish_probability,cost_of_altruism,benefit_from_altruism,disease,harshness,run_number,sample_index,ticks_to_stop,pinks_count,greens_count,voids_count,max_pink,max_green,max_black,min_pink,min_green,min_black
0.26,0.26,0.8237130753695965,0.579711576923728,0.35820380542427305,0.5272241528145969,0,0,8.0,0.0,1265.0,416.0,276.0,1265.0,760.0,0.0,0.0,0.0
0.26,0.26,0.28443263191729784,0.579711576923728,0.35820380542427305,0.5272241528145969,0,1,54.0,0.0,1372.0,309.0,495.0,1416.0,644.0,0.0,0.0,0.0
0.26,0.26,0.8237130753695965,0.9000171674415469,0.35820380542427305,0.5272241528145969,0,2,12.0,0.0,1373.0,308.0,344.0,1373.0,680.0,0.0,0.0,0.0
0.26,0.26,0.8237130753695965,0.579711576923728,0.06580980112776161,0.5272241528145969,0,3,10.0,0.0,1579.0,102.0,268.0,1579.0,783.0,0.0,0.0,0.0
0.26,0.26,0.8237130753695965,0.579711576923728,0.35820380542427305,0.6004979062825442,0,4,9.0,0.0,1072.0,609.0,263.0,1072.0,890.0,0.0,0.0,0.0
0.26,0.26,0.8237130753695965,0.9000171674415469,0.06580980112776161,0.6004979062825442,0,5,13.0,0.0,1568.0,113.0,340.0,1579.0,702.0,0.0,0.0,0.0
0.26,0.26,0.28443263191729784,0.579711576923728,0.06580980112776161,0.6004979062825442,0,6,62.0,0.0,1602.0,79.0,607.0,1617.0,645.0,0.0,0.0,0.0
0.26,0.26,0.28443263191729784,0.9000171674415469,0.35820380542427305,0.6004979062825442,0,7,116.0,0.0,1301.0,380.0,490.0,1338.0,679.0,0.0,0.0,0.0
0.26,0.26,0.28443263191729784,0.9000171674415469,0.06580980112776161,0.5272241528145969,0,8,69.0,0.0,1638.0,43.0,592.0,1638.0,595.0,0.0,0.0,0.0
0.26,0.26,0.28443263191729784,0.9000171674415469,0.06580980112776161,0.6004979062825442,0,9,139.0,0.0,1601.0,80.0,592.0,1621.0,575.0,0.0,0.0,0.0
0.26,0.26,0.4691952681168914,0.3274785364046693,0.5461391871795058,0.4355489619076252,0,10,29.0,0.0,1237.0,444.0,391.0,1297.0,725.0,0.0,0.0,0.0
0.26,0.26,0.6079364223405719,0.3274785364046693,0.5461391871795058,0.4355489619076252,0,11,12.0,0.0,1303.0,378.0,331.0,1303.0,773.0,0.0,0.0,0.0
0.26,0.26,0.4691952681168914,0.4689626479521394,0.5461391871795058,0.4355489619076252,0,12,26.0,0.0,1295.0,386.0,404.0,1325.0,735.0,0.0,0.0,0.0
0.26,0.26,0.4691952681168914,0.3274785364046693,0.687727133743465,0.4355489619076252,0,13,23.0,0.0,1197.0,484.0,330.0,1197.0,765.0,0.0,0.0,0.0
0.26,0.26,0.4691952681168914,0.3274785364046693,0.5461391871795058,0.40021330397576094,0,14,21.0,0.0,1344.0,337.0,423.0,1344.0,689.0,0.0,0.0,0.0
0.26,0.26,0.4691952681168914,0.4689626479521394,0.687727133743465,0.40021330397576094,0,15,27.0,0.0,1258.0,423.0,411.0,1258.0,759.0,0.0,0.0,0.0
0.26,0.26,0.6079364223405719,0.3274785364046693,0.687727133743465,0.40021330397576094,0,16,16.0,0.0,1244.0,437.0,266.0,1244.0,830.0,0.0,0.0,0.0
0.26,0.26,0.6079364223405719,0.4689626479521394,0.5461391871795058,0.40021330397576094,0,17,14.0,0.0,1262.0,419.0,359.0,1286.0,741.0,0.0,0.0,0.0
0.26,0.26,0.6079364223405719,0.4689626479521394,0.687727133743465,0.4355489619076252,0,18,15.0,0.0,1165.0,516.0,333.0,1170.0,828.0,0.0,0.0,0.0
0.26,0.26,0.6079364223405719,0.4689626479521394,0.687727133743465,0.40021330397576094,0,19,13.0,0.0,1202.0,479.0,341.0,1216.0,792.0,0.0,0.0,0.0
