altruistic_probability,selfish_probability,cost_of_altruism,benefit_from_altruism,disease,harshness,ticks_mean,ticks_std,altruists_mean,altruists_std,selfish_mean,selfish_std,void_mean,void_std,max_pink_mean,max_pink_std,max_green_mean,max_green_std,max_black_mean,max_black_std
0.26,0.26,0.0,0.0,0.0,0.0,4544.4,4135.3,784.8,843.8,896.2,843.8,0.0,0.0,1308.3,378.3,1387.3,382.8,41.7,4.8
0.26,0.26,0.0,0.0,0.0,0.25,7615.6,4129.3,879.9,852.6,801.1,852.6,0.0,0.0,1520.6,204.2,1488.1,243.7,402.0,22.5
0.26,0.26,0.0,0.0,0.0,0.5,4878.0,3165.6,672.4,868.1,1008.6,868.1,0.0,0.0,1378.3,354.9,1497.4,291.2,585.6,28.5
0.26,0.26,0.0,0.0,0.0,0.75,5792.4,4895.9,1008.6,868.1,672.4,868.1,0.0,0.0,1547.3,190.3,1355.0,385.9,710.6,25.5
0.26,0.26,0.0,0.0,0.0,1.0,2878.9,4322.6,194.6,507.6,636.0,548.8,850.4,557.0,768.0,334.7,983.9,427.5,1184.1,260.8
0.26,0.26,0.0,0.0,0.25,0.0,3467.5,1638.2,960.1,826.3,637.4,822.9,83.5,9.5,1416.8,280.6,1220.4,351.3,203.8,14.6
0.26,0.26,0.0,0.0,0.25,0.25,5107.0,4651.5,686.7,777.0,872.2,772.7,122.1,10.8,1249.5,327.4,1312.8,310.2,483.9,19.9
0.26,0.26,0.0,0.0,0.25,0.5,2909.3,1535.1,1044.1,720.6,444.6,715.9,192.3,14.0,1337.4,291.7,1197.1,307.0,645.6,20.9
0.26,0.26,0.0,0.0,0.25,0.75,3614.5,2054.0,494.5,638.6,742.5,639.4,444.0,28.2,982.9,277.2,1149.0,251.1,779.2,23.6
0.26,0.26,0.0,0.0,0.25,1.0,78.1,13.0,5.8,10.0,8.6,10.1,1666.6,9.5,413.5,17.0,419.9,29.0,1667.7,8.9
