altruistic_probability,selfish_probability,cost_of_altruism,benefit_from_altruism,disease,harshness,run_number,sample_index,ticks_to_stop,pinks_count,greens_count,voids_count,max_pink,max_green,max_black,min_pink,min_green,min_black
0.26,0.26,0.8913788804784417,0.1403623316437006,0.7098581786267459,0.4573080766014755,0,0,4.0,0.0,828.0,853.0,135.0,828.0,1026.0,0.0,0.0,0.0
0.26,0.26,0.43267021980136633,0.1403623316437006,0.7098581786267459,0.4573080766014755,0,1,24.0,0.0,1103.0,578.0,342.0,1167.0,785.0,0.0,0.0,0.0
0.26,0.26,0.8913788804784417,0.755306645296514,0.7098581786267459,0.4573080766014755,0,2,12.0,0.0,1086.0,595.0,213.0,1088.0,881.0,0.0,0.0,0.0
0.26,0.26,0.8913788804784417,0.1403623316437006,0.1544841567054391,0.4573080766014755,0,3,5.0,0.0,1355.0,326.0,168.0,1355.0,815.0,0.0,0.0,0.0
0.26,0.26,0.8913788804784417,0.1403623316437006,0.7098581786267459,0.1973611017689109,0,4,6.0,0.0,1308.0,373.0,176.0,1308.0,852.0,0.0,0.0,0.0
0.26,0.26,0.8913788804784417,0.755306645296514,0.1544841567054391,0.1973611017689109,0,5,10.0,0.0,1611.0,70.0,351.0,1611.0,500.0,0.0,0.0,0.0
0.26,0.26,0.43267021980136633,0.1403623316437006,0.1544841567054391,0.1973611017689109,0,6,18.0,0.0,1617.0,64.0,492.0,1617.0,424.0,0.0,0.0,0.0
0.26,0.26,0.43267021980136633,0.755306645296514,0.7098581786267459,0.1973611017689109,0,7,40.0,0.0,1334.0,347.0,510.0,1386.0,571.0,0.0,0.0,0.0
0.26,0.26,0.43267021980136633,0.755306645296514,0.1544841567054391,0.4573080766014755,0,8,32.0,0.0,1610.0,71.0,463.0,1610.0,608.0,0.0,0.0,0.0
0.26,0.26,0.43267021980136633,0.755306645296514,0.1544841567054391,0.1973611017689109,0,9,37.0,0.0,1615.0,66.0,596.0,1617.0,429.0,0.0,0.0,0.0
0.26,0.26,0.42056372854858637,0.8104400672018528,0.003093377407640219,0.3949729624204338,0,10,36.0,0.0,1680.0,1.0,502.0,1680.0,528.0,0.0,0.0,0.0
0.26,0.26,0.7831752980127931,0.8104400672018528,0.003093377407640219,0.3949729624204338,0,11,12.0,0.0,1677.0,4.0,413.0,1677.0,517.0,0.0,0.0,0.0
0.26,0.26,0.42056372854858637,0.3521567899733782,0.003093377407640219,0.3949729624204338,0,12,25.0,0.0,1678.0,3.0,489.0,1678.0,516.0,0.0,0.0,0.0
0.26,0.26,0.42056372854858637,0.8104400672018528,0.8931737503968179,0.3949729624204338,0,13,41.0,0.0,1052.0,629.0,409.0,1065.0,768.0,0.0,0.0,0.0
0.26,0.26,0.42056372854858637,0.8104400672018528,0.003093377407640219,0.7639987687580287,0,14,37.0,0.0,1677.0,4.0,423.0,1677.0,708.0,0.0,0.0,0.0
