altruistic_probability,selfish_probability,cost_of_altruism,benefit_from_altruism,disease,harshness,run_number,sample_index,ticks_to_stop,pinks_count,greens_count,voids_count,max_pink,max_green,max_black,min_pink,min_green,min_black
0.26,0.26,0.9431872302666306,0.9367937492206693,0.11023369347676636,0.32772434307262305,0,0,10.0,0.0,1631.0,50.0,332.0,1631.0,596.0,0.0,0.0,0.0
0.26,0.26,0.742091509513557,0.9367937492206693,0.11023369347676636,0.32772434307262305,0,1,15.0,0.0,1621.0,60.0,453.0,1624.0,506.0,0.0,0.0,0.0
0.26,0.26,0.9431872302666306,0.46548760775476694,0.11023369347676636,0.32772434307262305,0,2,9.0,0.0,1622.0,59.0,231.0,1622.0,663.0,0.0,0.0,0.0
0.26,0.26,0.9431872302666306,0.9367937492206693,0.8673614180646837,0.32772434307262305,0,3,9.0,0.0,1160.0,521.0,284.0,1160.0,773.0,0.0,0.0,0.0
0.26,0.26,0.9431872302666306,0.9367937492206693,0.11023369347676636,0.10720017291605473,0,4,11.0,0.0,1622.0,59.0,398.0,1644.0,411.0,0.0,0.0,0.0
0.26,0.26,0.9431872302666306,0.46548760775476694,0.8673614180646837,0.10720017291605473,0,5,5.0,0.0,1324.0,357.0,181.0,1324.0,748.0,0.0,0.0,0.0
0.26,0.26,0.742091509513557,0.9367937492206693,0.8673614180646837,0.10720017291605473,0,6,16.0,0.0,1315.0,366.0,440.0,1319.0,645.0,0.0,0.0,0.0
0.26,0.26,0.742091509513557,0.46548760775476694,0.11023369347676636,0.10720017291605473,0,7,11.0,0.0,1641.0,40.0,476.0,1641.0,377.0,0.0,0.0,0.0
0.26,0.26,0.742091509513557,0.46548760775476694,0.8673614180646837,0.32772434307262305,0,8,9.0,0.0,1104.0,577.0,273.0,1104.0,835.0,0.0,0.0,0.0
0.26,0.26,0.742091509513557,0.46548760775476694,0.8673614180646837,0.10720017291605473,0,9,12.0,0.0,1344.0,337.0,327.0,1344.0,692.0,0.0,0.0,0.0
0.26,0.26,0.3939556749537587,0.04834429081529379,0.464667559415102,0.5258750586770475,0,10,21.0,0.0,1286.0,395.0,385.0,1286.0,792.0,0.0,0.0,0.0
0.26,0.26,0.20180101040750742,0.04834429081529379,0.464667559415102,0.5258750586770475,0,11,58.0,0.0,1272.0,409.0,471.0,1284.0,741.0,0.0,0.0,0.0
0.26,0.26,0.3939556749537587,0.5764644593000412,0.464667559415102,0.5258750586770475,0,12,28.0,0.0,1280.0,401.0,474.0,1293.0,672.0,0.0,0.0,0.0
