"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"farming.nlogo"
"farm-cost-exp"
"04/19/2025 16:36:39:666 -1000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-50","50","-50","50"
"[run number]","init-households","farm-cost","fertility-loss","fission-energy","tree-clearing-cost","harvest","bad-years","transfer-ownership","max-fallow","swidden-radius","fertility-restore","init-move-threshold","max_cycles","move-cost","[step]","count households","mean [fertility] of patches","count patches with [state = ""abandoned""]","count patches with [state = ""died""]","count patches with [state = ""unused""]","count patches with [state = ""active""]","mean [vegetation] of patches","count patches with [fallow > 0]","ticks"
"3","2","3","20","150","3","12","20","false","20","12","2","50","2500","2","0","2","0.9998039407901186","0","0","9350","851","50","0","0"
"4","2","3","20","150","3","12","20","false","20","12","2","50","2500","2","0","2","0.9998039407901186","0","0","9685","516","50","0","0"
"6","2","3","20","150","3","12","20","false","20","12","2","50","2500","2","0","2","0.9998039407901186","0","0","9319","882","50","0","0"
"1","2","3","20","150","3","12","20","false","20","12","2","50","2500","2","0","2","0.9998039407901186","0","0","9319","882","50","0","0"
"5","2","3","20","150","3","12","20","false","20","12","2","50","2500","2","0","2","0.9998039407901186","0","0","9319","882","50","0","0"
"2","2","3","20","150","3","12","20","false","20","12","2","50","2500","2","0","2","0.9998039407901186","0","0","9319","882","50","0","0"
"3","2","3","20","150","3","12","20","false","20","12","2","50","2500","2","1","2","0.9997725713165376","0","0","9350","851","49.99019703950593","849","1"
"5","2","3","20","150","3","12","20","false","20","12","2","50","2500","2","1","2","0.9997725713165376","0","0","9319","882","49.99019703950593","880","1"
"4","2","3","20","150","3","12","20","false","20","12","2","50","2500","2","1","2","0.9997725713165376","0","0","9685","516","49.99019703950593","514","1"
"1","2","3","20","150","3","12","20","false","20","12","2","50","2500","2","1","2","0.9997725713165376","0","0","9319","882","49.99019703950593","880","1"
"2","2","3","20","150","3","12","20","false","20","12","2","50","2500","2","1","2","0.9997725713165376","0","0","9319","882","49.99019703950593","880","1"
"6","2","3","20","150","3","12","20","false","20","12","2","50","2500","2","1","2","0.9997725713165376","0","0","9319","882","49.99019703950593","880","1"
"4","2","3","20","150","3","12","20","false","20","12","2","50","2500","2","2","2","0.9997451230271543","0","0","9685","516","49.98059013822174","514","2"
"5","2","3","20","150","3","12","20","false","20","12","2","50","2500","2","2","2","0.9997451230271543","0","0","9319","882","49.98059013822174","880","2"
"3","2","3","20","150","3","12","20","false","20","12","2","50","2500","2","2","2","0.9997451230271543","0","0","9350","851","49.98059013822174","849","2"
"1","2","3","20","150","3","12","20","false","20","12","2","50","2500","2","2","2","0.9997451230271543","0","0","9319","882","49.98059013822174","880","2"
"2","2","3","20","150","3","12","20","false","20","12","2","50","2500","2","2","2","0.9997451230271541","0","0","9319","882","49.98059013822174","880","2"
"6","2","3","20","150","3","12","20","false","20","12","2","50","2500","2","2","2","0.9997451230271541","0","0","9319","882","49.98059013822174","880","2"
"5","2","3","20","150","3","12","20","false","20","12","2","50","2500","2","3","2","0.9997215959219684","0","0","9319","882","49.97117929614743","880","3"
"3","2","3","20","150","3","12","20","false","20","12","2","50","2500","2","3","2","0.9997215959219684","0","0","9350","851","49.97117929614743","849","3"
"6","2","3","20","150","3","12","20","false","20","12","2","50","2500","2","3","2","0.9997215959219684","0","0","9319","882","49.97117929614743","880","3"
"4","2","3","20","150","3","12","20","false","20","12","2","50","2500","2","3","2","0.9997215959219684","0","0","9685","516","49.97117929614743","514","3"
"1","2","3","20","150","3","12","20","false","20","12","2","50","2500","2","3","2","0.9997215959219684","0","0","9319","882","49.97117929614743","880","3"
"2","2","3","20","150","3","12","20","false","20","12","2","50","2500","2","3","2","0.9997215959219682","0","0","9319","882","49.97117929614743","880","3"
"5","2","3","20","150","3","12","20","false","20","12","2","50","2500","2","4","2","0.9997019900009803","0","0","9319","882","49.961964513283014","880","4"
"3","2","3","20","150","3","12","20","false","20","12","2","50","2500","2","4","2","0.9997019900009803","0","0","9350","851","49.961964513283014","849","4"
"4","2","3","20","150","3","12","20","false","20","12","2","50","2500","2","4","2","0.99970199000098","0","0","9685","516","49.961964513283014","514","4"
"5","2","3","20","150","3","12","20","false","20","12","2","50","2500","2","5","2","0.9996863052641897","0","0","9319","882","49.952945789628465","880","5"
"1","2","3","20","150","3","12","20","false","20","12","2","50","2500","2","4","2","0.9997019900009804","0","0","9319","882","49.961964513283014","880","4"
"6","2","3","20","150","3","12","20","false","20","12","2","50","2500","2","4","2","0.99970199000098","0","0","9319","882","49.961964513283014","880","4"
"3","2","3","20","150","3","12","20","false","20","12","2","50","2500","2","5","2","0.9996863052641897","0","0","9350","851","49.952945789628465","849","5"
"4","2","3","20","150","3","12","20","false","20","12","2","50","2500","2","5","2","0.9996863052641897","0","0","9685","516","49.952945789628465","514","5"
"2","2","3","20","150","3","12","20","false","20","12","2","50","2500","2","4","2","0.9997019900009803","0","0","9319","882","49.961964513283014","880","4"
"6","2","3","20","150","3","12","20","false","20","12","2","50","2500","2","5","2","0.9996863052641897","0","0","9319","882","49.952945789628465","880","5"
"2","2","3","20","150","3","12","20","false","20","12","2","50","2500","2","5","2","0.9996863052641897","0","0","9319","882","49.952945789628465","880","5"
"1","2","3","20","150","3","12","20","false","20","12","2","50","2500","2","5","2","0.9996863052641897","0","0","9319","882","49.952945789628465","880","5"
"5","2","3","20","150","3","12","20","false","20","12","2","50","2500","2","6","2","0.9996745417115971","0","0","9319","882","49.94412312518381","880","6"
"3","2","3","20","150","3","12","20","false","20","12","2","50","2500","2","6","2","0.9996745417115968","0","0","9350","851","49.94412312518381","849","6"
"4","2","3","20","150","3","12","20","false","20","12","2","50","2500","2","6","2","0.9996745417115968","0","0","9685","516","49.94412312518381","514","6"
