"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"M5Model_Dresslar.nlogo"
"randotime_long"
"04/20/2025 11:55:13:267 -1000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-50","50","-50","50"
"[run number]","Randos?","weirdness","farm-cost","fission-energy","swidden-radius","the-min-fertility","move-rate","[step]","count households","mean [fission-rate] of households","mean [farm-dist] of households","mean [min-fertility] of households","mean [move-threshold] of households","mean [vegetation] of patches"
"3","true","80","3","150","12","80","50","0","2","1.5","12","0.8","50","50"
"4","true","80","3","150","12","80","50","0","2","1.5","12","0.8","50","50"
"5","true","80","3","150","12","80","50","0","2","1.5","12","0.8","50","50"
"6","true","80","3","150","12","80","50","0","2","1.5","12","0.8","50","50"
"1","true","80","3","150","12","80","50","0","2","1.5","12","0.8","50","50"
"2","true","80","3","150","12","80","50","0","2","1.5","12","0.8","50","50"
"1","true","80","3","150","12","80","50","1000","39","1.3298635170614288","16.871794871794872","0.6161646747885199","41.048364058601706","48.47083619253014"
"6","true","80","3","150","12","80","50","1000","37","1.4476072969894838","13.08108108108108","0.6950754796332023","40.582528078390226","48.43358494265268"
"5","true","80","3","150","12","80","50","1000","48","1.6112095258427923","15.25","0.6570423823418193","42.55605969022332","48.057543378100185"
"4","true","80","3","150","12","80","50","1000","53","1.3177072653997883","14.245283018867925","0.5785555359822807","39.04396875442057","47.89020684246643"
"3","true","80","3","150","12","80","50","1000","41","1.5821165227557366","16.70731707317073","0.7086248494890405","42.59451229891023","48.334771100872466"
"2","true","80","3","150","12","80","50","1000","47","1.419915525612183","15.957446808510639","0.6826028796341732","39.61750614727825","48.34820115674934"
"6","true","80","3","150","12","80","50","2000","40","1.5038021078352855","15.625","0.6028737729765162","42.06593146489848","48.25870012743849"
"1","true","80","3","150","12","80","50","2000","46","1.361236388234836","16.347826086956523","0.5659348793377305","39.440078263419174","48.31457700225468"
"5","true","80","3","150","12","80","50","2000","57","1.5548424728048027","15.210526315789474","0.5561332358276289","42.651199224223674","47.82089991177335"
"3","true","80","3","150","12","80","50","2000","48","1.6101036817730512","16.520833333333332","0.570853565780203","45.31920012099983","48.023233016370945"
"4","true","80","3","150","12","80","50","2000","62","1.3844299364452248","15.35483870967742","0.5156271497885099","40.38459472828876","47.54543672189001"
"2","true","80","3","150","12","80","50","2000","48","1.5365227787539346","17.791666666666668","0.6107046661656508","40.1592430348549","47.91775316145476"
"1","true","80","3","150","12","80","50","3000","45","1.3706868598223447","16.933333333333334","0.6452835975278772","38.250542219351196","48.15096559160867"
"6","true","80","3","150","12","80","50","3000","51","1.4759294445442994","16.862745098039216","0.5070265462493546","42.68199481211724","47.90481325360259"
"3","true","80","3","150","12","80","50","3000","54","1.6651663471008917","17.796296296296298","0.5119944511051033","43.84580626446297","48.00196059209881"
"5","true","80","3","150","12","80","50","3000","51","1.3123382405987845","17.41176470588235","0.529113537713973","37.571400343485294","47.72443878051171"
"4","true","80","3","150","12","80","50","3000","70","1.5040802507549635","16.3","0.5599896606441366","41.439311072790865","47.125085775904324"
"2","true","80","3","150","12","80","50","3000","63","1.3833455425656718","18.92063492063492","0.47723828148622244","42.23456098942539","47.7877659053034"
"1","true","80","3","150","12","80","50","4000","46","1.327673860788956","17.58695652173913","0.5725831191455211","40.013505420287785","48.06322909518675"
"6","true","80","3","150","12","80","50","4000","56","1.4566052449564126","17.285714285714285","0.512216154487253","40.79743268865189","47.78502107636506"
"3","true","80","3","150","12","80","50","4000","55","1.4523885638441114","16.254545454545454","0.5032881055476224","41.94153122621153","47.95118125673954"
"5","true","80","3","150","12","80","50","4000","53","1.5314783474767173","17.39622641509434","0.487626871068295","42.1725827017352","47.546613077149296"
"4","true","80","3","150","12","80","50","4000","78","1.5433579463714733","16.23076923076923","0.5062944003006563","44.371891261133015","46.863150671502794"
"2","true","80","3","150","12","80","50","4000","61","1.2833220522615487","15.540983606557377","0.4924037993000004","38.36192719439272","47.6034702480149"
"1","true","80","3","150","12","80","50","5000","52","1.5468540324471873","15.788461538461538","0.5512149151112319","42.373431153657414","47.82442897755122"
