"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"M5Model_Dresslar.nlogo"
"randotime_very_long"
"04/21/2025 08:03:18:597 -1000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-50","50","-50","50"
"[run number]","Randos?","weirdness","farm-cost","fission-energy","swidden-radius","the-min-fertility","move-rate","[step]","count households","mean [fission-rate] of households","mean [farm-dist] of households","mean [min-fertility] of households","mean [move-threshold] of households","mean [vegetation] of patches","mean [fertility] of patches"
"5","true","80","3","150","12","80","50","0","2","1.5","12","0.8","50","50","0.9998039407901186"
"2","true","80","3","150","12","80","50","0","2","1.5","12","0.8","50","50","0.9998039407901186"
"3","true","80","3","150","12","80","50","0","2","1.5","12","0.8","50","50","0.9998039407901186"
"4","true","80","3","150","12","80","50","0","2","1.5","12","0.8","50","50","0.9998039407901186"
"6","true","80","3","150","12","80","50","0","2","1.5","12","0.8","50","50","0.9998039407901186"
"1","true","80","3","150","12","80","50","0","2","1.5","12","0.8","50","50","0.9998039407901186"
"3","true","80","3","150","12","80","50","10000","54","1.4618717959968253","17.48148148148148","0.5708951571171316","42.2990999230683","47.62464464268209","0.9954043721203815"
"1","true","80","3","150","12","80","50","10000","61","1.537193535897012","17.540983606557376","0.5395712838324079","44.18310615963413","47.28997157141457","0.9936398392314494"
"6","true","80","3","150","12","80","50","10000","81","1.4340245191396852","17.74074074074074","0.5055807515386901","40.487327794952186","46.08234486815018","0.9919596118027656"
"4","true","80","3","150","12","80","50","10000","85","1.4308219614072293","17.16470588235294","0.5438042309213077","39.3286329379121","46.05038721693951","0.9927281639055032"
"5","true","80","3","150","12","80","50","10000","98","1.449414121942345","17.336734693877553","0.5691977582632962","41.22973096766005","45.48799137339476","0.9921164591706724"
"2","true","80","3","150","12","80","50","10000","100","1.6358525253359173","17.24","0.5479181972554023","44.43814642418396","45.212136065091656","0.9912557592392949"
"3","true","80","3","150","12","80","50","20000","88","1.3934664145297033","16.704545454545453","0.5136743747787172","40.80684929098431","46.022840897951184","0.9915243603568303"
"1","true","80","3","150","12","80","50","20000","94","1.4849827631274863","18.69148936170213","0.5690526154574406","42.007585066286936","45.282031173414374","0.9914126066071964"
"6","true","80","3","150","12","80","50","20000","105","1.5666564205962719","16.64761904761905","0.5376386107915544","43.75243429669797","44.57219880403882","0.9900460739143254"
"4","true","80","3","150","12","80","50","20000","108","1.4973395737943036","16.546296296296298","0.5223617056053841","41.43757335126762","44.62591902754632","0.9882697774727994"
