"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"M5Model_Dresslar.nlogo"
"randotime"
"04/20/2025 08:42:55:619 -1000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-50","50","-50","50"
"run_number","Randos?","weirdness","farm_cost","fission_energy","swidden_radius","the_min_fertility","move_rate","step","count_households","mean_fission_rate","mean_farm_dist","mean_min_fertility","mean_move_threshold","mean_vegetation"
"6","true","80","3","150","12","80","50","0","2","1.5","12","0.8","50","50"
"5","true","80","3","150","12","80","50","0","2","1.5","12","0.8","50","50"
"2","true","80","3","150","12","80","50","0","2","1.5","12","0.8","50","50"
"4","true","80","3","150","12","80","50","0","2","1.5","12","0.8","50","50"
"3","true","80","3","150","12","80","50","0","2","1.5","12","0.8","50","50"
"1","true","80","3","150","12","80","50","0","2","1.5","12","0.8","50","50"
"2","true","80","3","150","12","80","50","500","46","1.3377892575885948","12.130434782608695","0.744711499593182","41.04636562262742","48.31683168316832"
"3","true","80","3","150","12","80","50","500","30","1.4253812447105976","16.966666666666665","0.7900041306149066","41.253364890413046","48.783158513871186"
"6","true","80","3","150","12","80","50","500","56","1.643799403967718","12.303571428571429","0.803791383753741","44.72669725808765","47.8641309675522"
"5","true","80","3","150","12","80","50","500","54","1.3530453213939084","13.592592592592593","0.7274055206405617","41.59600772562263","48.26771885109303"
"4","true","80","3","150","12","80","50","500","37","1.4144491227210183","14.837837837837839","0.6394576053970084","41.56483487228808","48.5381825311244"
"1","true","80","3","150","12","80","50","500","35","1.6138721662633","15.8","0.7880621307310901","45.5412051301132","48.58111949808842"
"3","true","80","3","150","12","80","50","1000","38","1.5270433805622645","16.526315789473685","0.6119490480350003","42.107464411823436","48.770316635623956"
"4","true","80","3","150","12","80","50","1000","40","1.4757409340304724","16.3","0.7161499677911555","41.46545620227538","48.56053328105088"
"2","true","80","3","150","12","80","50","1000","46","1.3813741551281857","18.08695652173913","0.6658615359659349","39.70803498778175","48.18802078227625"
"5","true","80","3","150","12","80","50","1000","54","1.3566426782065375","14.87037037037037","0.6364579693860812","41.9103774920818","48.034604450544066"
"6","true","80","3","150","12","80","50","1000","61","1.5702344970334168","13.885245901639344","0.6515594373511921","42.55754155299484","47.65062248799137"
"1","true","80","3","150","12","80","50","1000","41","1.570398189146607","16.097560975609756","0.7239755813781314","45.62121229967765","48.5160278404078"
"3","true","80","3","150","12","80","50","1500","30","1.5640018423168258","16.2","0.5605951291202632","41.576778486952705","48.77119890206843"
"4","true","80","3","150","12","80","50","1500","42","1.55616937952589","16.976190476190474","0.6379469097516933","43.764271597003535","48.42358592294873"
