"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"M5Model_Dresslar.nlogo"
"randotime_long"
"04/20/2025 14:57:06:471 -1000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-50","50","-50","50"
"[run number]","Randos?","weirdness","farm-cost","fission-energy","swidden-radius","the-min-fertility","move-rate","[step]","count households","mean [fission-rate] of households","mean [farm-dist] of households","mean [min-fertility] of households","mean [move-threshold] of households","mean [vegetation] of patches","mean [fertility] of patches"
"2","true","80","3","150","12","80","50","0","2","1.5","12","0.8","50","50","0.9998039407901186"
"4","true","80","3","150","12","80","50","0","2","1.5","12","0.8","50","50","0.9998039407901186"
"6","true","80","3","150","12","80","50","0","2","1.5","12","0.8","50","50","0.9998039407901186"
"1","true","80","3","150","12","80","50","0","2","1.5","12","0.8","50","50","0.9998039407901186"
"5","true","80","3","150","12","80","50","0","2","1.5","12","0.8","50","50","0.9998039407901186"
"3","true","80","3","150","12","80","50","0","2","1.5","12","0.8","50","50","0.9998039407901186"
"3","true","80","3","150","12","80","50","1000","48","1.382953703047537","16.041666666666668","0.706183100280564","39.714220385467705","48.231643956474855","0.9960082344868135"
"4","true","80","3","150","12","80","50","1000","66","1.457630952977865","15.424242424242424","0.6453036263147538","42.23478929682806","47.52965395549456","0.9946005293598642"
"2","true","80","3","150","12","80","50","1000","55","1.431215237498774","14.854545454545455","0.7086540086914309","39.6884642235895","47.87824723066366","0.9937731594941652"
"1","true","80","3","150","12","80","50","1000","59","1.461022652824344","16.016949152542374","0.6074767550579792","43.056717651887055","48.04048622684051","0.9933496716008229"
"5","true","80","3","150","12","80","50","1000","71","1.4737638514614324","15.732394366197184","0.5971740258962787","43.64975691831937","47.130183315361236","0.992600725419074"
"6","true","80","3","150","12","80","50","1000","60","1.3690640518555048","16.216666666666665","0.6886319508320429","40.850368883899165","47.68983432996765","0.9947299284383863"
"3","true","80","3","150","12","80","50","2000","46","1.432155613097672","18.043478260869566","0.5180682605946174","41.79855021922217","48.22487991373395","0.995414175080874"
"4","true","80","3","150","12","80","50","2000","67","1.4949530561760112","15.149253731343284","0.5917708885604721","39.694655729974656","47.15998431526321","0.9947475737672763"
"2","true","80","3","150","12","80","50","2000","63","1.4010115900361748","16.285714285714285","0.5824253006888243","40.545501722049025","47.31418488383492","0.9938515831781188"
"1","true","80","3","150","12","80","50","2000","53","1.4535881117096408","17.452830188679247","0.578900702905257","41.241281519480715","47.741103813351636","0.9952377217919804"
"6","true","80","3","150","12","80","50","2000","61","1.324626898899103","17.770491803278688","0.5463071552269312","38.62667732621314","47.61444956376826","0.9947044407411031"
"5","true","80","3","150","12","80","50","2000","70","1.5350468306809368","15.914285714285715","0.5191960796136355","43.14359699907401","46.84687775708264","0.9937398294284859"
"3","true","80","3","150","12","80","50","3000","46","1.3337636913034576","18.58695652173913","0.5017754671819047","38.243824397336454","48.05234780903833","0.9961435153416331"
"4","true","80","3","150","12","80","50","3000","75","1.550408199310441","16.733333333333334","0.585685676363909","43.27861274805116","46.796686599353","0.9935633761395937"
"2","true","80","3","150","12","80","50","3000","67","1.3964271865609774","17.328358208955223","0.5514174007329699","40.070232313594346","47.08156063131066","0.993933928046269"
"1","true","80","3","150","12","80","50","3000","56","1.576038298596136","16.660714285714285","0.5316380119289661","43.12876154612536","47.63601607685521","0.9939692187040499"
"6","true","80","3","150","12","80","50","3000","62","1.356453081852363","16.774193548387096","0.6441938632656659","40.22240465424031","47.377610038231545","0.993994706401334"
"5","true","80","3","150","12","80","50","3000","80","1.4000222347517082","18.0875","0.5206166332192699","41.35618804756779","46.61033232036075","0.9933261444956375"
"3","true","80","3","150","12","80","50","4000","50","1.5065889751972978","17","0.5631537274385021","42.36701355945044","47.93490834231938","0.9960082344868157"
"4","true","80","3","150","12","80","50","4000","85","1.4697222664985907","16.858823529411765","0.5411258937141544","43.43877952862523","46.739045191647875","0.9928477600235274"
"2","true","80","3","150","12","80","50","4000","71","1.5123974260572643","17.788732394366196","0.6293002553398871","42.29942637088331","47.01548867758063","0.9937633565336752"
"6","true","80","3","150","12","80","50","4000","74","1.265041612734421","16.405405405405407","0.5453769684811002","38.664677015078276","47.19154984805411","0.9945985687677673"
"1","true","80","3","150","12","80","50","4000","58","1.5101987807591728","17.82758620689655","0.504281222272754","42.97601578839515","47.460837172826196","0.9943436917949218"
"5","true","80","3","150","12","80","50","4000","82","1.3615017718147768","17.426829268292682","0.4943999159097249","40.589697423274046","46.4808352122341","0.9927771787079712"
"3","true","80","3","150","12","80","50","5000","54","1.6063718756100922","17.37037037037037","0.589842624433105","43.6798090479451","47.8451132241937","0.9952730124497604"
"2","true","80","3","150","12","80","50","5000","77","1.3813033844066782","16.90909090909091","0.5870977520513604","40.68642842602519","46.96490540143123","0.9940241152828165"
"4","true","80","3","150","12","80","50","5000","81","1.557206220590098","16.617283950617285","0.5467599355982034","43.322052370354676","46.49740221546907","0.9931438094304496"
"1","true","80","3","150","12","80","50","5000","63","1.4012659288589295","16.396825396825395","0.4855042777439146","41.34094171864271","47.258602097833545","0.9943985883736892"
"6","true","80","3","150","12","80","50","5000","74","1.3755030407457787","17.91891891891892","0.4979422414777389","39.19470817254304","47.0652877168905","0.9937476717968833"
"5","true","80","3","150","12","80","50","5000","84","1.5567924399933795","17.916666666666668","0.48275860448697455","41.20882962923916","46.22684050583276","0.9922635035780817"
"3","true","80","3","150","12","80","50","6000","52","1.712297261142464","15.846153846153847","0.5283381027399808","43.918370226761674","47.74316243505539","0.9956572885011284"
"4","true","80","3","150","12","80","50","6000","81","1.397339554007434","17.358024691358025","0.4932927333734207","40.394459858196186","46.479854916184685","0.9929967650230398"
"2","true","80","3","150","12","80","50","6000","87","1.4220357313390433","17.689655172413794","0.5837580532281597","40.60321213863052","46.623958435447506","0.9928203117341456"
"6","true","80","3","150","12","80","50","6000","70","1.4214366434524373","17.057142857142857","0.4964659842171402","39.45224225825888","46.92510538182531","0.9938966767963946"
"1","true","80","3","150","12","80","50","6000","68","1.4647011563709729","16.852941176470587","0.5801472232868246","40.61176480787475","47.11734143711401","0.9931222429173626"
"3","true","80","3","150","12","80","50","7000","57","1.4194550351798625","17.228070175438596","0.5052193312267654","42.462783907612895","47.693069306930695","0.9954690716596433"
"5","true","80","3","150","12","80","50","6000","94","1.6200498651571105","17.24468085106383","0.5383957782911446","44.34404925533103","46.0568571708656","0.9920223507499294"
"4","true","80","3","150","12","80","50","7000","87","1.4026873529839086","16.908045977011493","0.5105661212830507","39.90350048762181","46.32036074894618","0.9934614253504587"
"3","true","80","3","150","12","80","50","8000","64","1.6143721107853695","17.34375","0.534819543218134","42.73022106363756","47.49681403783943","0.9951749828448208"
"1","true","80","3","150","12","80","50","7000","74","1.4789647540782371","17.10810810810811","0.5048301131127115","43.62231168660258","46.81178315851387","0.9917086560141168"
"2","true","80","3","150","12","80","50","7000","83","1.5112014638758717","17.46987951807229","0.5497157852622466","42.75967144613585","46.506028820703854","0.9917184589746122"
"6","true","80","3","150","12","80","50","7000","77","1.3335467823428386","18.051948051948052","0.5493439898998994","38.74123640085761","46.790608763846684","0.9933104597588499"
"5","true","80","3","150","12","80","50","7000","100","1.4608596641731126","17.04","0.5320535767531156","41.93796360848225","45.81531222429174","0.9921105773943749"
"3","true","80","3","150","12","80","50","9000","57","1.619985942145212","15.929824561403509","0.481190703580763","42.979861284066594","47.35545534751495","0.9954043721203824"
"6","true","80","3","150","12","80","50","8000","73","1.4300049495064249","16.945205479452056","0.5260772100206875","41.32992058085739","46.75051465542594","0.9936712087050317"
"4","true","80","3","150","12","80","50","8000","87","1.5491527796547402","16.82758620689655","0.515144259453631","41.398211974549305","46.24919125575924","0.9932732085089739"
"1","true","80","3","150","12","80","50","8000","84","1.5356250067455233","16.94047619047619","0.5432458096200944","41.948912110272715","46.520145083815315","0.9937731594941691"
"2","true","80","3","150","12","80","50","8000","76","1.4768344256806714","17.68421052631579","0.5155206832180662","42.70988260370941","46.41476325850407","0.9930712675227945"
"5","true","80","3","150","12","80","50","8000","103","1.397044713701596","16.902912621359224","0.561954229822309","39.70861547888523","45.55925889618665","0.9904460347024838"
"3","true","80","3","150","12","80","50","10000","65","1.615196029718615","15.923076923076923","0.4826607482508987","44.02577846738521","47.302323301637095","0.9954122144887773"
"6","true","80","3","150","12","80","50","9000","79","1.6243744456624025","16.11392405063291","0.48069959146046026","43.59721623398038","46.519360846975786","0.9937594353494793"
